hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 1.48232E-018, 0.171323, -1.42109E-017, 0.171323, 1.42109E-017, 0.171323, 0, 0
2, 0.00000, -9.87274E-019, 0.110069, 0, 0.110069, 7.10543E-018, 0.110069, 0, 0
3, 0.00000, 3.61581E-019, 0.0707153, 1.06581E-017, 0.0707153, 1.06581E-017, 0.0707153, 0, 0
4, 0.00000, 3.87006E-018, 0.0454323, -7.10543E-018, 0.0454323, 0, 0.0454323, 0, 0
5, 0.00000, 4.77483E-019, 0.0363458, -1.77636E-018, 0.0363458, 0, 0.0363458, 0, 0
6, 0.00000, 1.39727E-018, 0.0290767, -3.55271E-018, 0.0290767, 3.55271E-018, 0.0290767, 0, 0
7, 0.00000, -1.30526E-018, 0.0232613, 0, 0.0232613, 0, 0.0232613, 0, 0
8, 0.00000, 1.73651E-018, 0.0186091, 1.77636E-018, 0.0186091, 0, 0.0186091, 0, 0
9, 0.00000, -100, 43.1325, -100, 43.1325, -100, 43.1325, 0, 0
10, 0.00000, -166.667, 70.9243, -166.667, 70.9243, -166.667, 70.9243, 0, 0
11, 0.00000, -200, 84.5395, -200, 84.5395, -200, 84.5395, 0, 0
12, 0.00000, -200, 84.5456, -200, 84.5456, -200, 84.5456, 0, 0
13, 0.00000, -200, 84.5496, -200, 84.5496, -200, 84.5496, 0, 0
14, 0.00000, -200, 84.5521, -200, 84.5521, -200, 84.5521, 0, 0
15, 0.00000, -200, 84.5537, -200, 84.5537, -200, 84.5537, 0, 0
16, 0.00000, -200, 84.5548, -200, 84.5548, -200, 84.5548, 0, 0
17, 0.00000, -200, 84.5554, -200, 84.5554, -200, 84.5554, 0, 0
18, 0.00000, -133.333, 57.1515, -133.333, 57.1515, -133.333, 57.1515, 0, 0
19, 0.00000, 2.55785E-018, 0.115597, 0, 0.115597, -7.10543E-018, 0.115597, 0, 0
20, 0.00000, 4.93637E-019, 0.0742669, 0, 0.0742669, 7.10543E-018, 0.0742669, 0, 0
21, 0.00000, 3.29652E-018, 0.0477141, 3.55271E-018, 0.0477141, 0, 0.0477141, 0, 0
22, 0.00000, 1.06889E-018, 0.0381713, -7.10543E-018, 0.0381713, -7.10543E-018, 0.0381713, 0, 0
23, 0.00000, -3.22989E-018, 0.030537, -3.55271E-018, 0.030537, 0, 0.030537, 0, 0
24, 0.00000, -1.27565E-018, 0.0244296, -5.32907E-018, 0.0244296, 0, 0.0244296, 0, 0
