hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 8078.07, 0.801223, 8078.07, -119.199, 8078.07, 120.801, 0, 0, 11.1413, -179.199, 11.1413, 60.8012, 11.1413, -59.1988, 2.17425E-009, 60.8012
10, 0.00000, 8144.48, 1.28778, 8144.48, -118.712, 8144.48, 121.288, 0, 0, 17.9061, -178.712, 17.9061, 61.2878, 17.9061, -58.7122, 3.49441E-009, 61.2877
11, 0.00000, 8215.12, 1.81004, 8215.12, -118.19, 8215.12, 121.81, 0, 0, 25.1659, -178.19, 25.1659, 61.81, 25.1659, -58.19, 4.91118E-009, 61.81
12, 0.00000, 8234.99, 1.9579, 8234.99, -118.042, 8234.99, 121.958, 0, 0, 27.2209, -178.042, 27.2209, 61.9579, 27.2209, -58.0421, 5.31222E-009, 61.9578
13, 0.00000, 8253.39, 2.09517, 8253.39, -117.905, 8253.39, 122.095, 0, 0, 29.1286, -177.905, 29.1286, 62.0952, 29.1286, -57.9048, 5.68451E-009, 62.0951
14, 0.00000, 8253.39, 2.09517, 8253.39, -117.905, 8253.39, 122.095, 0, 0, 29.1286, -177.905, 29.1286, 62.0952, 29.1286, -57.9048, 5.68451E-009, 62.0951
15, 0.00000, 8251.61, 2.08189, 8251.61, -117.918, 8251.61, 122.082, 0, 0, 28.9439, -177.918, 28.9439, 62.0819, 28.9439, -57.9181, 5.64848E-009, 62.0819
16, 0.00000, 8234.99, 1.9579, 8234.99, -118.042, 8234.99, 121.958, 0, 0, 27.2209, -178.042, 27.2209, 61.9579, 27.2209, -58.0421, 5.31222E-009, 61.9578
17, 0.00000, 8193.57, 1.65021, 8193.57, -118.35, 8193.57, 121.65, 0, 0, 22.9443, -178.35, 22.9443, 61.6502, 22.9443, -58.3498, 4.47763E-009, 61.6502
18, 0.00000, 8113.95, 1.0636, 8113.95, -118.936, 8113.95, 121.064, 0, 0, 14.7893, -178.936, 14.7893, 61.0636, 14.7893, -58.9364, 2.88617E-009, 61.0635
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
