hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, -90, -1.84539E-007, -90, -1.84539E-007, -90, -1.84539E-007, 0, 0
10, 0.00000, -145.836, -4.09273E-015, -145.836, 2.18279E-014, -145.836, -1.45519E-014, 0, 0
11, 0.00000, -200, -5.07175E-006, -200, -5.07175E-006, -200, -5.07175E-006, 0, 0
12, 0.00000, -200, -1.57752E-011, -200, -1.57888E-011, -200, -1.57597E-011, 0, 0
13, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
14, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
15, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
16, 0.00000, -200, 0, -200, 0, -200, 1.45519E-014, 0, 0
17, 0.00000, -187.996, 7.27596E-015, -187.996, 0, -187.996, 1.45519E-014, 0, 0
18, 0.00000, -120, 5.36972E-007, -120, 5.36972E-007, -120, 5.36972E-007, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
