hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 1.00000, -254.412, 134.32, -254.412, 134.32, -254.412, 134.32, 0, 0
0, 2.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 3.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 4.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 5.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 6.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 7.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 8.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 9.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 10.00000, -254.412, 134.321, -254.412, 134.321, -254.412, 134.321, 0, 0
0, 11.00000, -254.902, 134.677, -254.902, 134.677, -254.902, 134.677, 0, 0
0, 12.00000, -254.902, 134.654, -254.902, 134.654, -254.902, 134.654, 0, 0
0, 13.00000, -254.902, 134.625, -254.902, 134.625, -254.902, 134.625, 0, 0
0, 14.00000, -253.431, 133.541, -253.431, 133.541, -253.431, 133.541, 0, 0
0, 15.00000, -251.471, 132.172, -251.471, 132.172, -251.471, 132.172, 0, 0
0, 16.00000, -251.471, 132.345, -251.471, 132.345, -251.471, 132.345, 0, 0
0, 17.00000, -252.941, 133.573, -252.941, 133.573, -252.941, 133.573, 0, 0
0, 18.00000, -253.922, 134.313, -253.922, 134.313, -253.922, 134.313, 0, 0
0, 19.00000, -254.412, 134.608, -254.412, 134.608, -254.412, 134.608, 0, 0
0, 20.00000, -253.922, 134.174, -253.922, 134.174, -253.922, 134.174, 0, 0
