hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0.00000, 8149.32, 0.455057, 8149.32, -119.545, 8149.32, 120.455, 0, 0, 13.6344, 154.613, 13.6344, 34.6131, 13.6344, -85.3869, 2.66078E-009, 34.6131
10, 0.00000, 8266.04, 0.747733, 8266.04, -119.252, 8266.04, 120.748, 0, 0, 22.4031, 154.906, 22.4031, 34.9058, 22.4031, -85.0942, 4.37202E-009, 34.9057
11, 0.00000, 8350.68, 0.960333, 8350.68, -119.04, 8350.68, 120.96, 0, 0, 28.7724, 155.118, 28.7724, 35.1184, 28.7724, -84.8816, 5.61501E-009, 35.1184
12, 0.00000, 8350.68, 0.960333, 8350.68, -119.04, 8350.68, 120.96, 0, 0, 28.7724, 155.118, 28.7724, 35.1184, 28.7724, -84.8816, 5.61501E-009, 35.1184
13, 0.00000, 8350.68, 0.960333, 8350.68, -119.04, 8350.68, 120.96, 0, 0, 28.7724, 155.118, 28.7724, 35.1184, 28.7724, -84.8816, 5.61501E-009, 35.1184
14, 0.00000, 8350.68, 0.960333, 8350.68, -119.04, 8350.68, 120.96, 0, 0, 28.7724, 155.118, 28.7724, 35.1184, 28.7724, -84.8816, 5.615E-009, 35.1184
15, 0.00000, 8350.68, 0.960333, 8350.68, -119.04, 8350.68, 120.96, 0, 0, 28.7724, 155.118, 28.7724, 35.1184, 28.7724, -84.8816, 5.61501E-009, 35.1183
16, 0.00000, 8350.68, 0.960333, 8350.68, -119.04, 8350.68, 120.96, 0, 0, 28.7724, 155.118, 28.7724, 35.1184, 28.7724, -84.8816, 5.615E-009, 35.1183
17, 0.00000, 8350.68, 0.960333, 8350.68, -119.04, 8350.68, 120.96, 0, 0, 28.7724, 155.118, 28.7724, 35.1184, 28.7724, -84.8816, 5.615E-009, 35.1183
18, 0.00000, 8208.11, 0.602402, 8208.11, -119.398, 8208.11, 120.602, 0, 0, 18.049, 154.76, 18.049, 34.7605, 18.049, -85.2395, 3.5223E-009, 34.7604
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
