hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0.00000, 8049.82, 0.595572, 8049.82, -119.404, 8049.82, 120.596, 0, 0, 8.28176, -179.404, 8.28176, 60.5956, 8.28176, -59.4044, 1.61621E-009, 60.5955
9, 0.00000, 8090.08, 0.888932, 8090.08, -119.111, 8090.08, 120.889, 0, 0, 12.3608, -179.111, 12.3608, 60.8889, 12.3608, -59.1111, 2.41224E-009, 60.8888
10, 0.00000, 8168.85, 1.46737, 8168.85, -118.533, 8168.85, 121.467, 0, 0, 20.4027, -178.533, 20.4027, 61.4674, 20.4027, -58.5326, 3.98163E-009, 61.4673
11, 0.00000, 8272.31, 2.23668, 8272.31, -117.763, 8272.31, 122.237, 0, 0, 31.0949, -177.763, 31.0949, 62.2367, 31.0949, -57.7633, 6.06825E-009, 62.2365
12, 0.00000, 8272.31, 2.23668, 8272.31, -117.763, 8272.31, 122.237, 0, 0, 31.0949, -177.763, 31.0949, 62.2367, 31.0949, -57.7633, 6.06825E-009, 62.2366
13, 0.00000, 8272.31, 2.23669, 8272.31, -117.763, 8272.31, 122.237, 0, 0, 31.095, -177.763, 31.095, 62.2367, 31.095, -57.7633, 6.06827E-009, 62.2367
14, 0.00000, 8272.31, 2.23669, 8272.31, -117.763, 8272.31, 122.237, 0, 0, 31.095, -177.763, 31.095, 62.2367, 31.095, -57.7633, 6.06826E-009, 62.2366
15, 0.00000, 8272.31, 2.23669, 8272.31, -117.763, 8272.31, 122.237, 0, 0, 31.095, -177.763, 31.095, 62.2367, 31.095, -57.7633, 6.06827E-009, 62.2367
16, 0.00000, 8272.31, 2.23668, 8272.31, -117.763, 8272.31, 122.237, 0, 0, 31.0949, -177.763, 31.0949, 62.2367, 31.0949, -57.7633, 6.06825E-009, 62.2365
17, 0.00000, 8245.39, 2.03545, 8245.39, -117.965, 8245.39, 122.035, 0, 0, 28.2986, -177.965, 28.2986, 62.0355, 28.2986, -57.9645, 5.52254E-009, 62.0354
18, 0.00000, 8129.75, 1.1795, 8129.75, -118.821, 8129.75, 121.179, 0, 0, 16.4007, -178.821, 16.4007, 61.1795, 16.4007, -58.8205, 3.20063E-009, 61.1794
19, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 7967.43, 1.93668E-008, 7967.43, -120, 7967.43, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
